Procedura,Algoritmo,Best Params
Particle Swarm Optimization,Random Forest,"{'n_estimators': 81.79441910832276, 'max_features': 3.026953125, 'max_depth': 22.44789439107319, 'min_samples_split': 7.16708984375, 'min_samples_leaf': 2.5732421875}"
Particle Swarm Optimization,SVM,"{'C': 34.0087890625, 'kernel': 1.29638671875, 'epsilon': 0.11279296875}"
Particle Swarm Optimization,KNN,{'n_neighbors': 5.6572265625}
Particle Swarm Optimization,ANN,"{'optimizer': 0.39267578125, 'activation': 0.3463444660366314, 'loss': 0.5601091754798219, 'batch_size': 0.3625683518058154, 'neurons': 86.2802734375, 'epochs': 39.6552734375, 'patience': 12.46123046875}"
Genetic Algorithm,Random Forest,"{'n_estimators': 30, 'max_features': 3, 'max_depth': 44, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'squared_error'}"
Genetic Algorithm,SVM,"{'C': 46.46806118370328, 'kernel': 'rbf', 'epsilon': 0.04399630824284806}"
Genetic Algorithm,KNN,{'n_neighbors': 5}
Genetic Algorithm,ANN,"{'optimizer': 'adam', 'activation': 'relu', 'loss': 'mse', 'batch_size': 16, 'neurons': 79, 'epochs': 20, 'patience': 19}"
TPOT,Random Forest,"{'estimator__bootstrap': True, 'estimator__ccp_alpha': 0.0, 'estimator__criterion': 'squared_error', 'estimator__max_depth': 73, 'estimator__max_features': 2, 'estimator__max_leaf_nodes': None, 'estimator__max_samples': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__n_estimators': 182, 'estimator__n_jobs': None, 'estimator__oob_score': False, 'estimator__random_state': None, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': RandomForestRegressor(max_depth=73, max_features=2, min_samples_leaf=2,
                      n_estimators=182)}"
TPOT,SVM,"{'C': 41.53478086290729, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.22117584319232175, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
TPOT,KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}"
TPOT,ANN,"{'estimator__activation': 'logistic', 'estimator__alpha': 0.1, 'estimator__batch_size': 'auto', 'estimator__beta_1': 0.9, 'estimator__beta_2': 0.999, 'estimator__early_stopping': False, 'estimator__epsilon': 1e-08, 'estimator__hidden_layer_sizes': (50, 50), 'estimator__learning_rate': 'constant', 'estimator__learning_rate_init': 0.001, 'estimator__max_fun': 15000, 'estimator__max_iter': 200, 'estimator__momentum': 0.9, 'estimator__n_iter_no_change': 10, 'estimator__nesterovs_momentum': True, 'estimator__power_t': 0.5, 'estimator__random_state': None, 'estimator__shuffle': True, 'estimator__solver': 'adam', 'estimator__tol': 0.0001, 'estimator__validation_fraction': 0.1, 'estimator__verbose': False, 'estimator__warm_start': False, 'estimator': MLPRegressor(activation='logistic', alpha=0.1, hidden_layer_sizes=(50, 50))}"
