Procedura,Algoritmo,Best Params
Particle Swarm Optimization,SVM,"{'C': 42.896080238970086, 'kernel': 0.6050212938579431, 'epsilon': 0.6111204062103747}"
Particle Swarm Optimization,KNN,{'n_neighbors': 7.791015625}
Particle Swarm Optimization,ANN,"{'optimizer': 0.6355908612541703, 'activation': 0.9839940317313016, 'loss': 0.7477880493521316, 'batch_size': 0.694769851582844, 'neurons': 65.9775390625, 'epochs': 46.444345294447885, 'patience': 10.59963972552204}"
Genetic Algorithm,Random Forest,"{'n_estimators': 36, 'max_features': 5, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 3, 'criterion': 'squared_error'}"
Genetic Algorithm,SVM,"{'C': 43.42519831968045, 'kernel': 'poly', 'epsilon': 0.062783784180786}"
Genetic Algorithm,KNN,{'n_neighbors': 2}
Genetic Algorithm,ANN,"{'optimizer': 'adam', 'activation': 'relu', 'loss': 'mse', 'batch_size': 16, 'neurons': 82, 'epochs': 50, 'patience': 18}"
TPOT,Random Forest,"{'n_jobs': None, 'transformer_list': [('functiontransformer-1', FunctionTransformer(func=<function copy at 0x7a637d579990>)), ('functiontransformer-2', FunctionTransformer(func=<function copy at 0x7a637d579990>))], 'transformer_weights': None, 'verbose': False, 'verbose_feature_names_out': True, 'functiontransformer-1': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-2': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-1__accept_sparse': False, 'functiontransformer-1__check_inverse': True, 'functiontransformer-1__feature_names_out': None, 'functiontransformer-1__func': <function copy at 0x7a637d579990>, 'functiontransformer-1__inv_kw_args': None, 'functiontransformer-1__inverse_func': None, 'functiontransformer-1__kw_args': None, 'functiontransformer-1__validate': False, 'functiontransformer-2__accept_sparse': False, 'functiontransformer-2__check_inverse': True, 'functiontransformer-2__feature_names_out': None, 'functiontransformer-2__func': <function copy at 0x7a637d579990>, 'functiontransformer-2__inv_kw_args': None, 'functiontransformer-2__inverse_func': None, 'functiontransformer-2__kw_args': None, 'functiontransformer-2__validate': False}"
TPOT,SVM,"{'n_jobs': None, 'transformer_list': [('functiontransformer-1', FunctionTransformer(func=<function copy at 0x7a637d579990>)), ('functiontransformer-2', FunctionTransformer(func=<function copy at 0x7a637d579990>))], 'transformer_weights': None, 'verbose': False, 'verbose_feature_names_out': True, 'functiontransformer-1': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-2': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-1__accept_sparse': False, 'functiontransformer-1__check_inverse': True, 'functiontransformer-1__feature_names_out': None, 'functiontransformer-1__func': <function copy at 0x7a637d579990>, 'functiontransformer-1__inv_kw_args': None, 'functiontransformer-1__inverse_func': None, 'functiontransformer-1__kw_args': None, 'functiontransformer-1__validate': False, 'functiontransformer-2__accept_sparse': False, 'functiontransformer-2__check_inverse': True, 'functiontransformer-2__feature_names_out': None, 'functiontransformer-2__func': <function copy at 0x7a637d579990>, 'functiontransformer-2__inv_kw_args': None, 'functiontransformer-2__inverse_func': None, 'functiontransformer-2__kw_args': None, 'functiontransformer-2__validate': False}"
TPOT,KNN,"{'estimator__algorithm': 'auto', 'estimator__leaf_size': 30, 'estimator__metric': 'minkowski', 'estimator__metric_params': None, 'estimator__n_jobs': None, 'estimator__n_neighbors': 16, 'estimator__p': 2, 'estimator__weights': 'uniform', 'estimator': KNeighborsRegressor(n_neighbors=16)}"
TPOT,ANN,"{'n_jobs': None, 'transformer_list': [('functiontransformer-1', FunctionTransformer(func=<function copy at 0x7a637d579990>)), ('functiontransformer-2', FunctionTransformer(func=<function copy at 0x7a637d579990>))], 'transformer_weights': None, 'verbose': False, 'verbose_feature_names_out': True, 'functiontransformer-1': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-2': FunctionTransformer(func=<function copy at 0x7a637d579990>), 'functiontransformer-1__accept_sparse': False, 'functiontransformer-1__check_inverse': True, 'functiontransformer-1__feature_names_out': None, 'functiontransformer-1__func': <function copy at 0x7a637d579990>, 'functiontransformer-1__inv_kw_args': None, 'functiontransformer-1__inverse_func': None, 'functiontransformer-1__kw_args': None, 'functiontransformer-1__validate': False, 'functiontransformer-2__accept_sparse': False, 'functiontransformer-2__check_inverse': True, 'functiontransformer-2__feature_names_out': None, 'functiontransformer-2__func': <function copy at 0x7a637d579990>, 'functiontransformer-2__inv_kw_args': None, 'functiontransformer-2__inverse_func': None, 'functiontransformer-2__kw_args': None, 'functiontransformer-2__validate': False}"
